animal_id,session_id,semantic_role,source_field,source_file,raw_value,source_indexing,physical_channel_one_based,numpy_column_zero_based,anatomy_raw,missing,malformed,used_by_m4,shares_physical_channel_with,cross_source_check
Dino,Dino_062014_ACC,recommended_lfp,goodeegchannel,Dino_062014_ACC_BasicMetaData.mat,18,1-based (official data description),18,17,ACC,False,False,True,up_state,
Dino,Dino_062014_ACC,theta,Thetachannel,Dino_062014_ACC_BasicMetaData.mat,129,1-based (official data description),129,128,,False,False,True,,
Dino,Dino_062014_ACC,spindle,Spindlechannel,Dino_062014_ACC_BasicMetaData.mat,14,1-based (official data description),14,13,ACC,False,False,False,,
Dino,Dino_062014_ACC,up_state,UPstatechannel,Dino_062014_ACC_BasicMetaData.mat,18,1-based (official data description),18,17,ACC,False,False,False,recommended_lfp,
Dino,Dino_062014_ACC,up_state_detector,UPchannel,Dino_062014_ACC_UPDOWNINtervals.mat,18,1-based (matches BasicMetaData and detector output),18,17,ACC,False,False,False,,MATCH
Dino,Dino_062014_ACC,spindle_detector,SpindleData.detectionchan,Dino_062014_ACC_Spindles.mat,14,1-based (matches BasicMetaData and detector output),14,13,ACC,False,False,False,,MATCH
Dino,Dino_062014_mPFC,recommended_lfp,goodeegchannel,Dino_062014_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,True,spindle|up_state,
Dino,Dino_062014_mPFC,theta,Thetachannel,Dino_062014_mPFC_BasicMetaData.mat,129,1-based (official data description),129,128,,False,False,True,,
Dino,Dino_062014_mPFC,spindle,Spindlechannel,Dino_062014_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,False,recommended_lfp|up_state,
Dino,Dino_062014_mPFC,up_state,UPstatechannel,Dino_062014_mPFC_BasicMetaData.mat,83,1-based (official data description),83,82,mPFC,False,False,False,recommended_lfp|spindle,
Dino,Dino_062014_mPFC,up_state_detector,UPchannel,Dino_062014_mPFC_UPDOWNINtervals.mat,83,1-based (matches BasicMetaData and detector output),83,82,mPFC,False,False,False,,MATCH
Dino,Dino_062014_mPFC,spindle_detector,SpindleData.detectionchan,Dino_062014_mPFC_Spindles.mat,83,1-based (matches BasicMetaData and detector output),83,82,mPFC,False,False,False,,MATCH
Dino,Dino_072114_mPFC,recommended_lfp,goodeegchannel,Dino_072114_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,theta|up_state,
Dino,Dino_072114_mPFC,theta,Thetachannel,Dino_072114_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,recommended_lfp|up_state,
Dino,Dino_072114_mPFC,spindle,Spindlechannel,Dino_072114_mPFC_BasicMetaData.mat,106,1-based (official data description),106,105,mPFC,False,False,False,,
Dino,Dino_072114_mPFC,up_state,UPstatechannel,Dino_072114_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,False,recommended_lfp|theta,
Dino,Dino_072114_mPFC,up_state_detector,UPchannel,Dino_072114_mPFC_UPDOWNINtervals.mat,120,1-based (matches BasicMetaData and detector output),120,119,mPFC,False,False,False,,MATCH
Dino,Dino_072114_mPFC,spindle_detector,SpindleData.detectionchan,Dino_072114_mPFC_Spindles.mat,106,1-based (matches BasicMetaData and detector output),106,105,mPFC,False,False,False,,MATCH
Dino,Dino_072314_mPFC,recommended_lfp,goodeegchannel,Dino_072314_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,theta|up_state,
Dino,Dino_072314_mPFC,theta,Thetachannel,Dino_072314_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,recommended_lfp|up_state,
Dino,Dino_072314_mPFC,spindle,Spindlechannel,Dino_072314_mPFC_BasicMetaData.mat,106,1-based (official data description),106,105,mPFC,False,False,False,,
Dino,Dino_072314_mPFC,up_state,UPstatechannel,Dino_072314_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,False,recommended_lfp|theta,
Dino,Dino_072314_mPFC,up_state_detector,UPchannel,Dino_072314_mPFC_UPDOWNINtervals.mat,120,1-based (matches BasicMetaData and detector output),120,119,mPFC,False,False,False,,MATCH
Dino,Dino_072314_mPFC,spindle_detector,SpindleData.detectionchan,Dino_072314_mPFC_Spindles.mat,106,1-based (matches BasicMetaData and detector output),106,105,mPFC,False,False,False,,MATCH
Dino,Dino_072414_mPFC,recommended_lfp,goodeegchannel,Dino_072414_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,theta|up_state,
Dino,Dino_072414_mPFC,theta,Thetachannel,Dino_072414_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,True,recommended_lfp|up_state,
Dino,Dino_072414_mPFC,spindle,Spindlechannel,Dino_072414_mPFC_BasicMetaData.mat,106,1-based (official data description),106,105,mPFC,False,False,False,,
Dino,Dino_072414_mPFC,up_state,UPstatechannel,Dino_072414_mPFC_BasicMetaData.mat,120,1-based (official data description),120,119,mPFC,False,False,False,recommended_lfp|theta,
Dino,Dino_072414_mPFC,up_state_detector,UPchannel,Dino_072414_mPFC_UPDOWNINtervals.mat,120,1-based (matches BasicMetaData and detector output),120,119,mPFC,False,False,False,,MATCH
Dino,Dino_072414_mPFC,spindle_detector,SpindleData.detectionchan,Dino_072414_mPFC_Spindles.mat,106,1-based (matches BasicMetaData and detector output),106,105,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140526_277um,recommended_lfp,goodeegchannel,20140526_277um_BasicMetaData.mat,33,1-based (official data description),33,32,mPFC,False,False,True,spindle|up_state,
JennBuzsaki22,20140526_277um,theta,Thetachannel,20140526_277um_BasicMetaData.mat,65,1-based (official data description),65,64,dHipp,False,False,True,,
JennBuzsaki22,20140526_277um,spindle,Spindlechannel,20140526_277um_BasicMetaData.mat,33,1-based (official data description),33,32,mPFC,False,False,False,recommended_lfp|up_state,
JennBuzsaki22,20140526_277um,up_state,UPstatechannel,20140526_277um_BasicMetaData.mat,33,1-based (official data description),33,32,mPFC,False,False,False,recommended_lfp|spindle,
JennBuzsaki22,20140526_277um,up_state_detector,UPchannel,20140526_277um_UPDOWNINtervals.mat,33,1-based (matches BasicMetaData and detector output),33,32,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140526_277um,spindle_detector,SpindleData.detectionchan,20140526_277um_Spindles.mat,33,1-based (matches BasicMetaData and detector output),33,32,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140527_421um,recommended_lfp,goodeegchannel,20140527_421um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,True,spindle|up_state,
JennBuzsaki22,20140527_421um,theta,Thetachannel,20140527_421um_BasicMetaData.mat,65,1-based (official data description),65,64,dHipp,False,False,True,,
JennBuzsaki22,20140527_421um,spindle,Spindlechannel,20140527_421um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,False,recommended_lfp|up_state,
JennBuzsaki22,20140527_421um,up_state,UPstatechannel,20140527_421um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,False,recommended_lfp|spindle,
JennBuzsaki22,20140527_421um,up_state_detector,UPchannel,20140527_421um_UPDOWNINtervals.mat,9,1-based (matches BasicMetaData and detector output),9,8,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140527_421um,spindle_detector,SpindleData.detectionchan,20140527_421um_Spindles.mat,9,1-based (matches BasicMetaData and detector output),9,8,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140528_565um,recommended_lfp,goodeegchannel,20140528_565um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,True,spindle|up_state,
JennBuzsaki22,20140528_565um,theta,Thetachannel,20140528_565um_BasicMetaData.mat,65,1-based (official data description),65,64,dHipp,False,False,True,,
JennBuzsaki22,20140528_565um,spindle,Spindlechannel,20140528_565um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,False,recommended_lfp|up_state,
JennBuzsaki22,20140528_565um,up_state,UPstatechannel,20140528_565um_BasicMetaData.mat,9,1-based (official data description),9,8,mPFC,False,False,False,recommended_lfp|spindle,
JennBuzsaki22,20140528_565um,up_state_detector,UPchannel,20140528_565um_UPDOWNINtervals.mat,9,1-based (matches BasicMetaData and detector output),9,8,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140528_565um,spindle_detector,SpindleData.detectionchan,20140528_565um_Spindles.mat,9,1-based (matches BasicMetaData and detector output),9,8,mPFC,False,False,False,,MATCH
JennBuzsaki22,20140528_565um,ripple_noise,RippleNoiseChannel,20140528_565um_BasicMetaData.mat,3,apparently 1-based; not documented explicitly,3,2,mPFC,False,False,False,,alternate field; not canonical
Bogey,Bogey_012615,recommended_lfp,goodeegchannel,Bogey_012615_BasicMetaData.mat,46,1-based (official data description),46,45,mPFC,False,False,True,spindle|up_state,
Bogey,Bogey_012615,theta,Thetachannel,Bogey_012615_BasicMetaData.mat,67,1-based (official data description),67,66,dHipp,False,False,True,,
Bogey,Bogey_012615,spindle,Spindlechannel,Bogey_012615_BasicMetaData.mat,46,1-based (official data description),46,45,mPFC,False,False,False,recommended_lfp|up_state,
Bogey,Bogey_012615,up_state,UPstatechannel,Bogey_012615_BasicMetaData.mat,46,1-based (official data description),46,45,mPFC,False,False,False,recommended_lfp|spindle,
Bogey,Bogey_012615,up_state_detector,UPchannel,Bogey_012615_UPDOWNINtervals.mat,46,1-based (matches BasicMetaData and detector output),46,45,mPFC,False,False,False,,MATCH
Bogey,Bogey_012615,spindle_detector,SpindleData.detectionchan,Bogey_012615_Spindles.mat,46,1-based (matches BasicMetaData and detector output),46,45,mPFC,False,False,False,,MATCH
Splinter,Splinter_020515,recommended_lfp,goodeegchannel,Splinter_020515_BasicMetaData.mat,42,1-based (official data description),42,41,OFC,False,False,True,theta|spindle|up_state,
Splinter,Splinter_020515,theta,Thetachannel,Splinter_020515_BasicMetaData.mat,42,1-based (official data description),42,41,OFC,False,False,True,recommended_lfp|spindle|up_state,
Splinter,Splinter_020515,spindle,Spindlechannel,Splinter_020515_BasicMetaData.mat,42,1-based (official data description),42,41,OFC,False,False,False,recommended_lfp|theta|up_state,
Splinter,Splinter_020515,up_state,UPstatechannel,Splinter_020515_BasicMetaData.mat,42,1-based (official data description),42,41,OFC,False,False,False,recommended_lfp|theta|spindle,
Splinter,Splinter_020515,up_state_detector,UPchannel,Splinter_020515_UPDOWNINtervals.mat,42,1-based (matches BasicMetaData and detector output),42,41,OFC,False,False,False,,MATCH
Splinter,Splinter_020515,spindle_detector,SpindleData.detectionchan,Splinter_020515_Spindles.mat,42,1-based (matches BasicMetaData and detector output),42,41,OFC,False,False,False,,MATCH
Splinter,Splinter_020915,recommended_lfp,goodeegchannel,Splinter_020915_BasicMetaData.mat,43,1-based (official data description),43,42,OFC,False,False,True,spindle|up_state,
Splinter,Splinter_020915,theta,Thetachannel,Splinter_020915_BasicMetaData.mat,12,1-based (official data description),12,11,OFC,False,False,True,,
Splinter,Splinter_020915,spindle,Spindlechannel,Splinter_020915_BasicMetaData.mat,43,1-based (official data description),43,42,OFC,False,False,False,recommended_lfp|up_state,
Splinter,Splinter_020915,up_state,UPstatechannel,Splinter_020915_BasicMetaData.mat,43,1-based (official data description),43,42,OFC,False,False,False,recommended_lfp|spindle,
Splinter,Splinter_020915,up_state_detector,UPchannel,Splinter_020915_UPDOWNINtervals.mat,43,1-based (matches BasicMetaData and detector output),43,42,OFC,False,False,False,,MATCH
Splinter,Splinter_020915,spindle_detector,SpindleData.detectionchan,Splinter_020915_Spindles.mat,43,1-based (matches BasicMetaData and detector output),43,42,OFC,False,False,False,,MATCH
Rizzo,Rizzo_022615,recommended_lfp,goodeegchannel,Rizzo_022615_BasicMetaData.mat,60,1-based (official data description),60,59,OFC,False,False,True,,
Rizzo,Rizzo_022615,theta,Thetachannel,Rizzo_022615_BasicMetaData.mat,1,1-based (official data description),1,0,OFC,False,False,True,up_state,
Rizzo,Rizzo_022615,spindle,Spindlechannel,Rizzo_022615_BasicMetaData.mat,17,1-based (official data description),17,16,OFC,False,False,False,,
Rizzo,Rizzo_022615,up_state,UPstatechannel,Rizzo_022615_BasicMetaData.mat,1,1-based (official data description),1,0,OFC,False,False,False,theta,
Rizzo,Rizzo_022615,up_state_detector,UPchannel,Rizzo_022615_UPDOWNINtervals.mat,1,1-based (matches BasicMetaData and detector output),1,0,OFC,False,False,False,,MATCH
Rizzo,Rizzo_022615,spindle_detector,SpindleData.detectionchan,Rizzo_022615_Spindles.mat,17,1-based (matches BasicMetaData and detector output),17,16,OFC,False,False,False,,MATCH
Rizzo,Rizzo_022715,recommended_lfp,goodeegchannel,Rizzo_022715_BasicMetaData.mat,40,1-based (official data description),40,39,OFC,False,False,True,,
Rizzo,Rizzo_022715,theta,Thetachannel,Rizzo_022715_BasicMetaData.mat,1,1-based (official data description),1,0,OFC,False,False,True,,
Rizzo,Rizzo_022715,spindle,Spindlechannel,Rizzo_022715_BasicMetaData.mat,52,1-based (official data description),52,51,OFC,False,False,False,,
Rizzo,Rizzo_022715,up_state,UPstatechannel,Rizzo_022715_BasicMetaData.mat,17,1-based (official data description),17,16,OFC,False,False,False,,
Rizzo,Rizzo_022715,up_state_detector,UPchannel,Rizzo_022715_UPDOWNINtervals.mat,17,1-based (matches BasicMetaData and detector output),17,16,OFC,False,False,False,,MATCH
Rizzo,Rizzo_022715,spindle_detector,SpindleData.detectionchan,Rizzo_022715_Spindles.mat,52,1-based (matches BasicMetaData and detector output),52,51,OFC,False,False,False,,MATCH
Templeton,Templeton_032415,recommended_lfp,goodeegchannel,Templeton_032415_BasicMetaData.mat,27,1-based (official data description),27,26,mPFC,False,False,True,spindle|up_state,
Templeton,Templeton_032415,theta,Thetachannel,Templeton_032415_BasicMetaData.mat,57,1-based (official data description),57,56,dhipp,False,False,True,,
Templeton,Templeton_032415,spindle,Spindlechannel,Templeton_032415_BasicMetaData.mat,27,1-based (official data description),27,26,mPFC,False,False,False,recommended_lfp|up_state,
